filepath,emotion_id,emotion_name,actor
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-01-01-01-01-01.wav,01,neutral,01
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-01-01-01-02-01.wav,01,neutral,01
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-01-01-02-01-01.wav,01,neutral,01
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-01-01-02-02-01.wav,01,neutral,01
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-02-01-01-01-01.wav,02,calm,01
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-02-01-01-02-01.wav,02,calm,01
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-02-01-02-01-01.wav,02,calm,01
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-02-01-02-02-01.wav,02,calm,01
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-02-02-01-01-01.wav,02,calm,01
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-02-02-01-02-01.wav,02,calm,01
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-02-02-02-01-01.wav,02,calm,01
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-02-02-02-02-01.wav,02,calm,01
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-03-01-01-01-01.wav,03,happy,01
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-03-01-01-02-01.wav,03,happy,01
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-03-01-02-01-01.wav,03,happy,01
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-03-01-02-02-01.wav,03,happy,01
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-03-02-01-01-01.wav,03,happy,01
C:\Users\kucuk\Desktop\ses_verileri\Actor_01\03-01-03-02-01-02-01.wav,03,happy,01
